,,277,47,85,250,130,當季精選,Specialty,青仁黑豆茶, Black Bean,-,-,,,,,,,
'興田 August, 2016',312,52,125,330,170,印尼 蘇門答臘,Indonesia Sumatra ,藍湖曼特寧,Blue Batak Mandheling,半水洗,Giling Basah,G1,藥草、肉桂類香料、橙柚類果皮氣息、醇厚濃郁甜感、奶油核桃巧克力，如糖漿般的圓潤入喉、酸味低，香氣特殊，深長的後韻
"榮豆 May, 2016",475,80,150,400,205,尼加拉瓜 ,Nicaragua,奇蹟莊園 爪哇尼卡,Fincas Mierisch Milagros Javanica,蜜處理,Honey,SHG,"花香，嫩薑、香料的香氣，沖水後栗子的香氣樸鼻而來，啜吸時可以感覺到奶油、乾燥類水果的風味，花蜜與果汁的甜感。",,,,,
"圓石 August, 2016",222,37,100,270,140,哥倫比亞,Colombia ,托利馬 普蘭娜達斯,Tolima Planadas Select,水洗,Washed,, 仙楂與烏梅的香氣，巧克力與焦糖的豐厚甜感，入口有著葡萄柚果汁與櫻桃果肉的酸甜滋味，中後段甜感豐富，餘韻是乾淨細膩的高山茶香。,,,,,
"圓石 August, 2016",272,46,115,300,155,印尼 ,Indonesia,蘇拉維西 托拿家,Sulawesi  Kalosi Toraja ,水洗,Washed,G1, 黑糖、烤松子，焦糖與黑巧克力苦韻，烤堅果與甜藥草風味，口感厚實，焦糖爆米花風味。,,,,,
"榮豆 May, 2016",555,93,165,440,225,哥倫比亞,Colombia ,聖徒阿里歐莊園 愛情靈藥,Finca Santuario Heliconias Red Bourbon,水洗,Washed,Excelso,玫瑰花香、水果汁、橘子、花香、李子、蜂蜜、厚實,,,,,
"榮豆 May, 2016",475,80,150,400,205,肯亞,Kenya,冽里 露奇拉,Nyeri Rukira  ,水洗,Washed,AA,花香、草莓、水蜜桃香氣。中段核果香。 橘子、綠色奇異果酸香、黃金奇異果香氣！細緻溫柔明亮酸感,,,,,
'圓石' April, 2016,432,72,155,400,205,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,艾迪朵合作社,Idido Coop,日曬 ,Natural,    G1,新鮮的莓果乾香與玫瑰花香、濕香也有著藍莓果醬與甜膩的糖蜜的氣息、入口是厚實的草莓、葡萄汁、可可等等風味、中低溫時酸質轉為清亮的金桔、甜橙、綠檸檬滋味,,,,,
'圓石' April, 2016,432,72,155,400,205,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,阿洛默,Aramo Station,日曬 ,Natural,    G1,新鮮的莓果乾香與玫瑰花香、濕香也有著藍莓果醬與甜膩的糖蜜的氣息、入口是厚實的草莓、葡萄汁、可可等等風味、中低溫時酸質轉為清亮的金桔、甜橙、綠檸檬滋味,,,,,
"榮豆 May, 2016",377,63,135,365,190,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe, 杜梅索合作社, Dumerso Coop,水洗,Washed,   G1,莉花香、茉莉檸檬皮、紅茶、香瓜、檸檬柑橘調、野薑花、細膩多汁。,,,,,
'聯傑' June, 2016,477,80,160,420,215,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,沃卡  加吉魯小農,Worka Coop Gelgelu Adame,日曬,Natural,   G1,鳳梨、芒果乾、香料調性、葡萄乾、蜂蜜般的甜美、可可滑順口感,,,,,
'聯傑' March, 2016,492,82,155,430,220,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,沃卡合作社  阿利姆小農,Worka Alemu Tukula GP,日曬,Natural,   G1,橙色水果、柑橘、新鮮莓果調、黑醋栗、糖漿、花朵香氣、青蘋果般的明亮酸度、可可、滑順口感,,,,,
"圓石 June, 2016",382,64,135,360,185,肯亞,Kenya,奇安布 亞拉莊園,Kiambu Yara,水洗,Washed,AA,黑莓、葡萄、黑醋栗、茂谷柑、黑李、葡萄酒感。,,,,,
"圓石 August, 2016",362,61,140,370,190,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,阿洛默 阿冽瑪悠伯哈努, Aramo Alemayehu Berhanu,水洗,Washed,G1, 茉莉花、黃檸檬、橘皮，青蘋果，水果茶、伯爵紅茶。,,,,,
"圓石 October, 2016",442,74,155,410,210,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe, 罕貝拉莊園 單一農場日,Hambela Benti Nenqua SFP,單層慢速乾燥  日曬,SLD,G1,熱帶水果，柑橘，鳳梨香，桃子。花香與藍莓。,,,,,
"聯傑 September, 2016",372,62,135,360,185,哥斯大黎加,Costa Rica,寶藏莊園 里瓦斯人處理場, Brunca La Guaca Catuai ,黑蜜,Black Honey,,雪莉酒、風乾莓果調、紫葡萄、甜櫻桃、香瓜、糖蜜、香草、桃子,,,,,
"守成(團) October, 2016",320,54,120,320,165,瓜地馬拉,Guatemala ,拉米尼塔 花神,La Minita La Flor,水洗,Washed,SHB,花香，酸性柔和，巧克力，乾淨明亮,,,,,
"圓石 August, 2016",422,71,150,400,205,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe, 歌迪貝 單一農場, Gedeb  SFP  Lot 118,單層慢速乾燥 ,SLD,G1,水蜜桃香，水果糖，草莓、香瓜、鳳梨風味,,,,,
"萬友 December, 2016",235,40,105,280,145,哥倫比亞,Colombia ,小飛象, Dumbo,水洗,Washed,Supremo ,核果，香草，堅果，巧克力，焦糖,,,,,
"聯傑 September, 2016",227,38,105,280,145,瓜地馬拉,Guatemala ,阿卡特南果 美妙莊園,Acatenango Finca La Hermosa,水洗,Washed,,可可調、香草、杉木、香料香氣、平衡輕柔,,,,,
"圓石 January, 2017",1122,187,335,900,455,哥倫比亞,Colombia ,希望莊園  花見 藝伎,La Esperanza Hanami,水洗,Washed,Geisha,花香，水蜜桃，藍莓、柑橘、薰衣草，伯爵紅茶,,,,,
"圓石 January, 2017",1867,312,485,1300,655,巴拿馬,Panama,波魁特 露易斯家族 柏林娜莊園 藝伎,Boquete Ruiz Berlina Reserva,蜜處理,"  Honey ",Geisha,花香、檸檬、柑橘、藍莓、桃子、香吉士、葡萄柚,,,,,
"圓石 October, 2016",472,79,155,410,210,哥斯大黎加,Costa Rica,索諾拉莊園,Sonora  Alberto Guardia,日曬,Natural,,草莓、藍莓、桃子、酒香、花香、薰衣草涼感、肉桂及芒果皮尾韻,,,,,
"圓石 October, 2016",342,57,130,360,185,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,潔蒂普 , Gedeb  ,日曬,Natural,G1, 橙橘、茉莉、檸檬糖、蜂蜜、乳香、奶油巧克力,,,,,
"圓石 October, 2016",427,72,150,400,205,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe, 罕貝拉莊園 單一農場水,Hambela Benti Nenqua SFP,單層慢速乾燥  水洗,SLD,G1,雞蛋花，柑橘，奇異果香，藍莓，水蜜桃，蜂蜜。,,,,,
"圓石 October, 2016",407,68,145,390,200,衣索比亞 西達摩,Ethiopia Sidamo,杭古特合作社, Hunkute Coop ,水洗,Washed,G1,咖啡花香、梔子花香、檸檬、柑橘、佛手柑、蜂蜜、甜橙，線條清晰、餘韻如百花園般浪漫綿長。,,,,,
"圓石 October, 2016",337,57,130,350,180,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,艾瑞莎, Aricha,日曬,Natural,   G1,藍莓、桃子、花香，柑橘，蜂蜜檸檬綠茶。,,,,,
"圓石 November, 2016",427,72,150,400,205,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,班可   果丁丁合作社, Banko Gotiti ,日曬,Natural,G3,藍莓，甜芒果、百香果、鳳梨、草莓奶酒，平衡感佳，尾韻甜美,,,,,
"Fb  December, 2016",237,40,110,290,150,哥倫比亞,Colombia ,考卡 羅倫娜莊園,Valle del Cauca  Laurina,水洗,Washed,Supremo ,堅果、口感飽滿，香草植物、檸檬萊姆香氣,,,,,
"圓石 January, 2017",412,69,145,380,195,哥倫比亞,Colombia ,棕梠樹與大嘴鳥莊園  路易斯‧聖多士,La Palma \& El Tucan  Luis Santos,雙重發酵處理法, Mixed Process ,,焦糖、橘子，情人果，李子、蘋果、黑可可,,,,,
"聯傑 September, 2016",362,61,140,370,190,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,孔加合作社,Konga Mekuria Mergia,水洗,Washed,G1,花香、黃檸檬、澳檀、紅茶韻、酸質豐富柔滑,,,,,
"圓石 October, 2016",382,64,145,380,195,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,果丁丁 阿利姆布卡托, Gutiti  Alemu Bukato,日曬,Natural,G1,草莓、藍莓、水蜜桃、柑橘，咖啡花香，桃子酒香,,,,,
"臉書 March, 2017",592,99,180,480,245,葉門,Yemen,瑪塔利 No.9, Bany Matar Mattari N0.9,日曬 ,Natural,,狂野原始風味，紅酒般發酵香，微苦甜巧克力，熟果香,,,,,
"守成 January, 2017",302,51,115,310,160,哥斯大黎加,Costa Rica,拉米尼塔 木蘭花,La Minita La Magnolia,水洗,Washed,SHB,蜂蜜堅果、梅子、百香果，蔗糖，清柔均衡,,,,,
"守成 Febuary, 2017",232,39,100,260,135,坦尚尼亞 ,Tanzania,吉力馬扎羅火山,Kilimanjaro,水洗,Washed,AA,橘子、柚子、榛果、杏仁、麥芽、甘蔗,,,,,
"黑金 March, 2017",357,60,130,350,180,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,孔加合作社,Konga,日曬 ,Natural,G1,草莓、藍莓、檸檬、香草冰淇淋、熱帶水果,,,,,
"圓石 January, 2017",442,74,145,390,200,哥倫比亞,Colombia ,希望莊園,La Esperanza,日曬 ,Natural,,酒香，花香，鳳梨、龍眼、黑李、黑醋栗、百香果，果酸明亮,,,,,
"圓石 December, 2016",447,75,155,410,210,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe, 罕貝拉 布穀 單一農場,Hambela Buku SFP,單層慢速乾燥  日曬,SLD,G1,百香果，芒果，鳳梨，玫瑰，水蜜桃，白葡萄。,,,,,
"圓石 January, 2017",347,58,135,350,180,衣索比亞, Ethiopia, 西達摩 所羅門蓋圖,Sidamo Chuchu Solomon Getu,日曬 ,Natural,,雞蛋花、藍莓、桃子、綠茶、橘皮、檸檬愛玉,,,,,
"圓石 October, 2016",427,72,145,380,195, 肯亞 , Kenya , 穆蘭納區 剛鐸處理廠 , Murang'a Gondo , 水洗 , Washed , AA ,葡萄柚，黑莓，蜂蜜，柑橘，黑醋栗，李子，烏梅,,,,,
"圓石 October, 2016",382,64,145,380,195,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,科契爾  杜梅索2016,Kochere Dumerso2016,日曬,Natural,G1, 花香草莓，紫葡萄，金桔與檸檬茶，巧克力蛋糕氣息。,,,,,
"圓石 December, 2016",347,58,135,360,185,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,科契爾 畢洛亞n ,Kochere Biloya,日曬,Natural,G1,莓果、柑橘、百香果、哈密瓜、桃子、鳳梨、花香,,,,,
"圓石 December, 2016",362,61,130,340,175,巴拿馬,Panama,沃肯  龐畢度莊園,Volcan Bambito Estate,水洗,Washed,Catuai,香吉士，香草，奶油，卡士達，柑橘，蘋果。,,,,,
"Fb  December, 2016",462,77,150,400,205,尼加拉瓜 ,Nicaragua,安晶莊園 Caturra,Tres Soles Est.Caturra,日曬,Natural,,莓果調、李子、蘋果、甜瓜及鳳梨、芒果、百香果,,,,,
"圓石 January, 2017",412,69,145,380,195,哥倫比亞,Colombia ,棕梠樹與大嘴鳥莊園  瑪格莉特‧拉米雷斯,La Palma \& El Tucan Margarita RamiRez,雙重發酵處理法,Mixed Process ,,蜂蜜，橘子皮，花香，葡萄酒，蜜李、梅子、石榴,,,,,
"臉書 March, 2017",272,46,115,300,155,瓜地馬拉,Guatemala ,安提瓜 帕斯托羅斯,Antigua Las Pastores,水洗,Washed,SHB,茶香、奶油、冷杉、焦糖、蜂蜜、榛果,,,,,
"圓石 January, 2017",267,45,110,280,145,巴紐,Papua New Guinea,瓦吉谷地 奇邁爾莊園 ,Wahgi Valley Kimel,水洗,Washed,AA,焦糖、奶油、甘蔗、葡萄柚、黑糖糕、糖漬金棗,,,,,
"守成 Febuary, 2017",252,42,100,270,140,巴西,Brazil,依帕內瑪 甜蜜日曬,Sul de Minas Ipanema Dulce,日曬 ,Natural,,柑橘香，堅果、可可、口感厚甜,,,,,
"LEVELUP January, 2017",502,84,160,430,220,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,狄馬哲德 絕計,Drima Zede,日曬,Natural,LevelUp,藍莓、熟果甜香、柑橘、水蜜桃、可可。,,,,,
"LEVELUP January, 2017",502,84,160,430,220,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,杜梅索 丹奇夢,Dumerso Danch Meng,日曬 ,Natural,LevelUp,覆盆莓，藍莓，紅酒，梅子，花香，可可。,,,,,
"聯傑 September, 2016",472,79,155,410,210,瓜地馬拉,Guatemala ,薇薇特南果 翡冷翠莊園,Huehetenango Finca Florencia ,水洗,Washed,Pacamara,葡萄酒、香料、焦糖、紅茶、深色莓果、萊姆,,,,,
"圓石 November, 2016",392,66,145,380,195,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,沃卡 哈洛巴利迪, Worka Halo Bariti,日曬,Natural,G3,檸檬，藍莓，花香，水蜜桃，香氣豐富，層次多變,,,,,
"圓石 December, 2016",527,88,165,440,225,巴拿馬,Panama,火石莊園 卡度艾 09批次,Piedra de Candela Jurutungo,蜜處理,Honey,Catuai,橘子、檸檬、柚子、蔓越莓乾、綠茶。,,,,,
"圓石 December, 2016",467,78,150,400,205,哥斯大黎加,Costa Rica, 拉斯拉哈斯莊園 黑珍珠 ,Central Valley Las Lajas Perla Negra,日曬,Natural,黑珍珠,柑橘、百香果、鳳梨，葡萄酒與蜂蜜香，檸檬綠茶風味,,,,,
"圓石 December, 2016",337,57,130,350,180,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,科契爾 畢洛亞w ,Kochere Biloya,水洗,Washed,G1,柚子、香吉士、茉莉花、檸檬皮香氣、葡萄柚綠茶,,,,,
"黑金 April, 2017",312,52,130,350,180,印尼 蘇門答臘,Indonesia Sumatra ,瓦哈娜莊園,Wahana Mandheling ,日曬 ,Natural,,熱帶水果、哈蜜瓜、鳳梨、胡椒、發酵酒香、櫻桃巧克力,,,,,
"臉書 March, 2017",367,62,135,360,185,印度,India,東高止山 阿魯谷,Araku Valley,水洗,Washed,羅米蘇丹 Rume Sudan,焦糖、蜂蜜香、黑巧克力、蜜桃、香草,,,,,
"圓石 January, 2017",632,106,185,490,250,巴拿馬,Panama,哈特曼莊園,Finca Hartmann,酒香日曬,Winey,Pacamara,花香、香料，草莓酒、桃子、波羅蜜、鳳梨、百香果,,,,,
"圓石 March, 2017",302,51,120,320,165,衣索比亞 ,Ethiopia , 古吉 烏拉嘎 亞比圖科巴,Guji Uraga Yabitu Koba,水洗,Washed,G1,檸檬皮、柳橙、花香、佛手柑、紅茶,,,,,
"聯傑 March, 2017",447,75,150,400,205,哥倫比亞,Colombia ,安提奧基亞 海萊拉莊園,Antioquia Herrera,水洗,Washed,Antioquia Best Cup,花香、白葡萄汁、蜂蜜、奶油、柑橘、水果軟糖,,,,,
"聯傑 December, 2016",417,70,145,380,195,宏都拉斯,Honduras,  小樹莊園,Comayagua El Retoño,日曬,Natural,,龍眼乾 、紅色莓果、蜜餞、熱帶水果,,,,,
"圓石 January, 2017",332,56,130,330,170,肯亞 ,Kenya,凱莉米庫,Kirinyaga Karimikui,水洗,Washed, AB ,烏梅，洛神花，山楂，甘草，蜂蜜，糖漬橙皮,,,,,
"LEVELUP January, 2017",592,99,180,480,245,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,洛米塔夏,Lomi Tasha,水洗,Washed,LevelUp,花香、金桔檸檬、茉莉綠茶、奇異果、養樂多,,,,,
"喜糖 Febuary, 2017",357,60,130,340,175,薩爾瓦多,Salvador,勇士莊園,San Carlos,水洗,Washed,SHG,巧克力、檸檬、西瓜、橘子、太妃糖、榛果奶油,,,,,
"聯傑 January, 2017",242,41,105,270,140,哥斯大黎加,Costa Rica,伏流 唐路卡斯莊園, Tarrazu Bajo del Rio Don Lucas,水洗,Washed,,奶油堅果甜、咖啡漿果、新鮮回甘茶感、可可調,,,,,
"喜糖 March, 2017",282,47,115,300,155,秘魯,Peru,安地斯駱馬,Lambayeque,水洗,Washed,Typica/Bourbon,黑櫻桃、葡桃柚、微果酸甜、回甘滑順,,,,,
"圓石 April, 2017",437,73,145,390,200,巴拿馬,Panama,哈特曼莊園C,Finca Hartmann,酒香日曬,Winey,卡杜拉,水果酒、香料、日曬莓果、熱帶水果、桃子,,,,,
"臉書 March, 2017",412,69,135,360,185,肯亞 ,Kenya,盧瓦坎芭,Murang'a Rwaikamba,水洗,Washed,AA,葡萄柚、梅子、蜂蜜、橘皮、黑醋栗、李子、黑莓,,,,,
"萬友 March, 2017",287,48,115,310,160,衣索比亞 ,Ethiopia ,利姆  季洛,Limu Gera,水洗,Washed,G1,花香、蘋果、蘆薈、金桔、層次多變,,,,,
"圓石 April, 2017",312,52,130,350,180,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,科契爾  杜梅索,Kochere Dumerso,日曬 ,Natural,G1,金桔檸檬、佛手柑、茉莉、桃子、藍莓、紅茶,,,,,
"聯傑 May, 2017",367,62,135,360,185,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,丘壩村 紅櫻桃,Chelba  OCR,日曬 ,Natural,G3,花香、柑橘、野莓、甜菊、蜂蜜、豐富酸質,,,,,
"圓石 April, 2017",442,74,150,400,205,巴拿馬,Panama,達馬俐N\#1,Boquete Damarli,日曬 ,Natural,,桃子、百香果、黑糖、橘子、李子、杏仁、葡萄柚,,,,,
"圓石 April, 2017",412,69,145,380,195,巴拿馬,Panama,達馬俐W\#2,Boquete Damarli,水洗,Washed,,黑莓、黑棗、水梨甜感、柳橙、莓果尾韻,,,,,
"圓石 April, 2017",362,61,135,360,185,巴拿馬,Panama,哈特曼 長尾鵑,Finca Hartmann Red Trogon,酒香日曬,Winey,,草莓、桃子、檸檬、柑橘、櫻桃酒,,,,,
"圓石 March, 2017",357,60,130,350,180,肯亞 ,Kenya,奇昂德瑞處理廠,Muranga Kianderi,水洗,Washed, AB ,梅子、葡萄柚、烏梅、檸檬、金桔、些許花香,,,,,
"萬友 April, 2017",272,46,115,300,155,坦尚尼亞 ,Tanzania,托加,Tweega,水洗,Washed,,黑醋栗，葡萄柚，麥芽糖，厚實度佳,,,,,
"守成 July, 2017",667,112,190,510,260,哥斯大黎加,Costa Rica,拉斯拉哈斯莊園 黃鑽,Finca Las Lajas Yellow Diamond,黃鑽,Honey,SHB,蜜桃、波蘿蜜汁、酒香，水果酒酸甜，口感飽滿,,,,,
"守成 July, 2017",667,112,190,510,260,巴拿馬,Panama,驢子莊園 非洲棚架日曬,Elida El Burro Estate,日曬,Natural,SHB,黑莓、葡萄乾、葡萄酒、巧克力，口感厚實,,,,,
"臉書 March, 2017",277,47,115,310,160,哥倫比亞,Colombia ,那玲瓏,Narino. Condors,水洗,Washed,,巧克力、莓果香，油脂稍多，乾淨度佳
"圓石 March, 2017",307,52,120,320,165,哥倫比亞,Colombia ,考卡 索塔納008,Cauca Regional Select Sotara,水洗,Washed, Lot 008,橘子汁、桃子清香、青梅、麥芽糖,,,,,
"臉書 March, 2017",162,27,90,240,125,印度,India,皇家羅布斯塔,Kaapi Royale,水洗,Washed,,花生醬、榛果醬、核桃、花生、小麥、榖物,,,,,
"宸嶧 April, 2017",362,61,135,360,185,肯亞 ,Kenya,奔傑若,Mbunjero,日曬,Natural,AA,蘋果、水果、紅茶、糖漿、香草,,,,,
"宸嶧 April, 2017",392,66,145,380,195,衣索比亞 ,Ethiopia ,利姆 \#3, Limu AFCA\#3,日曬 ,Natural,G1,草莓、百香果、酒香熟果、巧克力、厚實綿長,,,,,
"守成 April, 2017",197,33,100,260,135,瓜地馬拉,Guatemala ,薇薇特南果,Huehuetenango,水洗,Washed,SHB,溫帶水果、甜桃、巧克力、柑橘茶,,,,,
"聯傑 July, 2017",317,53,120,320,165,巴拿馬,Panama,瓦肯 神曲莊園,Volcan Los Cantares,水洗,Washed,,甜蘋果、焦糖、橘皮、甜瓜、牛奶、巧克力,,,,,
"圓石 July, 2017",352,59,130,350,180,衣索比亞,Ethiopia ,古吉 塔莎亞 紫風鈴,Guji Shakisso Dasaya,日曬,Natural,G1,草莓、藍莓、紫蘿蘭、百香果、桃子、葡萄果汁,,,,,
" July, 2017",602,101,185,490,250,衣索比亞,Ethiopia ,班其馬吉 貝貝卡 ,Bench Maji Bebeka,日曬,Natural,藝伎原生種,莓果味、柑橘、白葡萄、茉莉花香,,,,,
"源友  July, 2017",407,68,145,380,195,衣索比亞,Ethiopia ,古吉 凱樂,Guji Kara,日曬,Natural,G1,鳳梨、熱帶水果、焦糖、草莓,,,,,
"黑沐 August, 2017",442,74,170,450,230,馬拉威,Malawi,姆祖祖安康山 藝伎,Muzuz Geisha,水洗,Washed,AA,杏桃、白柚、萊姆、花果香、甜香料、莓果酸,,,,,
"圓石 April, 2017",412,69,145,380,195,巴拿馬,Panama,達馬俐\#1,Boquete Damarli,水洗,Washed,,黑莓、黑李、柳橙、橘皮、黑糖,,,,,
"聯傑 July, 2017",267,45,115,300,155,哥斯大黎加,Costa Rica,塔拉珠 鑽石山 ,Tarrazu Montanas Diamante,紅蜜,Honey,SHB,甜棗、紅糖、甘蔗、焦糖、可可、圓潤滑順,,,,,
"守成(團) October, 2016",320,54,120,320,165,瓜地馬拉,Guatemala ,拉米尼塔 花神,La Minita La Flor,水洗,Washed,SHB,花香，酸性柔和，巧克力，乾淨明亮,,,,,
"圓石 April, 2017",397,67,145,380,195,肯亞 ,Kenya,冽里  歐薩亞合作社  加圖雅尼,Nyeri Othaya FCS Gatuyaini,水洗,Washed,AA,梅子、檸檬甜香，烏梅、柑橘、蜂蜜、柚子,,,,,
"圓石 April, 2017",452,76,155,410,210,肯亞 ,Kenya,麒麟雅嘉區  巴拉格威合作社  古馬,Kirinyaga Baragwi FCS Guama,水洗,Washed,PB TOP,薰衣草、葡萄柚、柑橘、黑莓 (cr97分),,,,,
"圓石 July, 2017",297,50,130,340,175,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,孔加 哈亞特,Konga Hayat,水洗,Washed,   G1,雞蛋花、藍莓、桃子、萊姆、柚子、檸檬皮香,,,,,
"圓石 April, 2017",397,67,145,380,195,肯亞 ,Kenya,奇安布區  科摩泰合作社 克希盧伊尼,Kiambu Komothai FCS Gathiruini,水洗,Washed,AA TOP,柑橘、檸檬、葡萄柚、紅莓、優酪乳、蜂蜜,,,,,
"聯傑 May, 2017",337,57,130,350,180,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,荷芙莎合作社,Harfusa Coop,水洗,Washed,G1,鮮花、杏桃、糖蜜、焦糖、紅茶、可可、酸質明亮,,,,,
"聯傑 June, 2017",487,82,160,420,215,哥斯大黎加,Costa Rica,西部谷地 薩拉卡莊園,West Valley Monte Brisas Salaca,日曬,Natural,VillaLobos, 水果調、梅子、紅糖、乳香、酸質甜美多汁、柔滑口感,,,,,
'配方' September, 2015,330,55,100,290,150,當季精選 ,Sesonal ,冰滴特調 ,Specialty Blend for Cold Drip,,,,,,,,,
"聯傑 June, 2017",587,98,175,470,240,哥倫比亞,Colombia ,聖奧古斯丁 美景莊園, Huila San Agustin La Argentina Bella Vista,日曬慢速乾燥,Natural Shade Dry,Caturra,葡萄軟糖、蜂蜜水果茶與甜柑橘調、層次豐富、口感濃醇,,,,,
"喜糖 April, 2017",297,50,115,310,160,瓜地馬拉,Guatemala ,咕咕馬旦莊園,Cuchomatane,水洗,Washed,SHB,茉莉花香、水果調性、杏仁果、可可、醇度厚實,,,,,
"網拍 December, 2017",2800,467,520,1400,700,巴拿馬,Panama,極光莊園 藝伎,Finca Aurora ,日曬 ,Natural,Geisha 圓豆,茉莉花、藍莓、草莓、荔枝、杏桃、水蜜桃、藍莓、葡萄乾、佛手柑,,,,,
"網拍 December, 2017",1200,200,225,600,300,哥倫比亞,Colombia ,聖荷西莊園,Finca San Jose Estate,萊姆酒桶發酵,Rum Barrel fermented,,威士忌、萊姆酒、哈密瓜、櫻桃、黑李、核果、酒香巧克力,,,,,
"圓石 July, 2017",297,50,130,340,175,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,孔加 沃克尼許,Konga Worknesh Worji,水洗,Washed,   G1,檸檬、柑橘、茉莉花香、蜂蜜柚子茶,,,,,
"守成 July, 2017",482,81,160,420,215,肯亞 ,Kenya,麒麟雅嘉 吉拉加,Kirinyaga Kiaragana ,水洗,Washed,AA TOP,柑橘、白花香、杏桃、白葡萄、蔗糖，酸質溫潤,,,,,
"聯傑 November, 2017",227,38,100,270,140,巴西,Brazil,巴拉那州 加州莊園,Parana Fazenda California Obata,去果皮日曬, Pulped Natural,,橘皮、堅果糖、口感乾淨滑順、酸質平衡,,,,,
"豐潤 July, 2017",287,48,115,310,160,薩爾瓦多,Salvador,伯爾哈莊園 綠貓頭鷹,JJ Borja Nathan Ataco Estate,溫泉水洗,Washed,SHG, 桃子、腰果、李子、巧克力、濃郁、回甘,,,,,
"黑金 Sep, 2017",292,49,115,310,160,哥斯大黎加,Costa Rica,聖蘿蔓 蜂鳥,San Ramon Royal,水洗,Washed,SHB,輕柔橙橘調.微微香料氣息.奶油般厚實甜質,,,,,
"鳳展 August, 2017",512,86,165,440,225,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,聖杯 , Holy Grail,日曬,Natural,G1,可可、焦糖、雪莉桶、蘭姆酒、黃色花香,,,,,
"鳳展 August, 2017",542,91,175,460,235,衣索比亞 ,Ethiopia ,索羅門王,Guji King Solomon,日曬,Natural,G1,草莓、奶油蛋糕香，花香、日曬莓果香甜,,,,,
"黑金 Sep, 2017",247,42,105,280,145,巴紐,Papua New Guinea,西格里 天堂鳥,Sigri Estate,水洗,Washed,AA,巧克力、蔗糖、葡萄酒香、奶油、紅茶,,,,,
"黑金 August, 2017",282,47,115,310,160,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,沃卡,Worka Coop.,日曬,Natural,G1,草莓、漿果、甜度厚實、紅酒感、巧克力,,,,,
"圓石 December, 2017",472,79,155,410,210,巴拿馬,Panama,極光莊園 靈魂日曬,Finca Auromar Alma,日曬,Natural,,草莓，萊姆，黑巧克力、花香、酒香,,,,,
"聯傑 July, 2017",337,57,130,340,175,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,艾迪朵合作社,Idido Coop,日曬,Natural,G1,花香、甜香料、佛手柑、甜橙、蜂蜜、酸質明亮,,,,,
"鳳展 August, 2017",512,86,165,440,225,衣索比亞 ,Ethiopia,迷你蜜,Kaffa Mini-Me,水洗,Washed,   G1,梔子花香、萊姆、柑橘調、明亮清透、高甜度,,,,,
"網拍 December, 2017",302,51,115,310,160,厄瓜多,Ecuador,威爾卡班巴村 茱莉亞 ,Loja Vilcabamba Julia Rengel ,水洗,Washed,,根部植物、沒藥、杏仁、堅果、巧克力,,,,,
"聯傑 Feburary, 2018",3200,534,595,1600,805,巴拿馬,Panama,巫師莊園 藝伎 1850m, Boquete Las Brujas,日曬,Natural,Geisha,芒果乾、丁香、甜橙、百香果、甜瓜、果汁,,,,,
"聯傑 Feburary, 2018",2450,409,485,1300,655,巴拿馬,Panama,鄧肯莊園 藝伎 1700m,Boquete Duncan,白蜜處理,White Honey,Geisha,花香、檸檬、橙、杏、輕脆甜蜜酸,,,,,
"聯傑 Feburary, 2018",1600,267,335,900,455,巴拿馬,Panama,阿爾鐵里莊園 藝伎 ,Bouquete Altieri  Farm,水洗,Washed,Geisha,椪柑、葡萄柚、甜桃、養樂多、甜桃、甘蔗汁,,,,,
