,,277,47,85,250,130,當季精選,Specialty,青仁黑豆茶, Black Bean,-,-,,,,,,,
'圓石' May, 2014,355,60,105,,,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,沃特孔加 微產區,Wote Konga,日曬,Natural,, 檸檬藍莓果汁、錫蘭紅茶、花香,,,,,
'圓石' May, 2014,310,52,90,,,哥倫比亞,Colombia,(馬廄系列) 阿爾卑斯莊園, Mbeya Shiwanda Estate,水洗,Washed,,桃子果香、柑橘、花香、青梅、烏梅尾韻,,,,,
'圓石' May, 2014,340,57,100,,,坦尚尼亞 ,Tanzania,姆貝亞 蟻丘莊園,Los Alpes EL ESTABLO,水洗,Washed,PB,焦糖、核桃、葡萄乾、花香；酸度清爽，口感滑順。,,,,,
'聯傑' June, 2014,310,52,100,,,剛果,Congo,奇夫產區 夢加諾合作社,Muungano Fully Washed,水洗,Washed,,青草氣息、柑橘類水果香甜、巧克力、麥芽糖漿。,海拔1300-1460公尺,SC16/18,,原生波旁種,,
'聯傑' June, 2014,220,37,75,,,巴西,Brazil,南米納斯 水之睛農場  ,Sul de  Minas Olhos D'Agua Farm,去果皮日曬,Pulped Natural,,堅果、核棗、花生巧克力、茶湯、些許肉桂、糖漿。,卡杜艾Catuai,,,,
'聯傑' June, 2014,420,70,130,,,印尼 蘇門答臘,Indonesia Sumatra ,亞齊省 塔瓦爾湖  陳年綠寶曼特寧 ,Aceh Aged Lake Tawar,濕剝法陳年熟成,Giling Basah,,烏龍、普珥、茶感鮮明、香料、低酸且厚醇度高、風味特殊飽滿。,海拔900~1600公尺,希望之手計畫,,,
迪歐思 June, 2014,220,37,75,,,墨西哥,Mexico,Europea Zona 2 產區:韋拉克魯斯,Europea Zona 2, Veracruz,水洗,Washed,,核果類味,乾淨,柔順,柑橘味, 焦糖,巧克力,花香。,1000M,,,,
迪歐思 June, 2014,260,44,85,,,墨西哥,Mexico, SHG EP Zafiro, 恰帕斯州, SHG EP Zafiro, Chiapas,日曬 ,Natural,,飽滿,厚實,乾淨,柔順,柑橘味,檸檬,巧克力,蜂蜜與焦糖的甜香。,1600M,,,,
'聯傑' June, 2014,308,52,105,,,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,科契爾 雪冽圖,Kochere, Chelelektu,水洗,Washed,   G1,上揚的茉莉花香與檸檬氣息、佛手柑、蜂蜜香甜、葡萄柚調性果酸精緻口感明亮。,,,,,
'聯傑' June, 2014,368,62,120,,,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,金蕾娜安芭雅 杜梅索合作社,Gelena Abaya, Dumerso Coop,水洗,Washed,   G1,花香、茉莉氣息、檸檬特色鮮明、香瓜  檸檬柑橘調  野薑花、細膩多汁。,,,,,
'圓石' June, 2014,326,55,110,,,衣索比亞 西達摩,Ethiopia Sidamo,古吉  夏奇索微產區,Guji Shakisso,日曬 ,Natural,,藍莓、百香果、芒果、萊姆，中後段柑橘、藍莓,,,,,
'圓石' June, 2014,291,49,100,,,衣索比亞 西達摩,Ethiopia Sidamo,古吉  夏奇索微產區,Guji Shakisso,水洗,Washed,,白葡萄柔酸、檸檬、柑橘、萊姆，後段淡淡的荔枝香帶焦糖香氣,,,,,
'圓石' June, 2014,396,66,130,,,衣索比亞 西達摩,Ethiopia Sidamo,雅笛,Ardi,日曬 ,Natural,   G1,藍莓、波羅蜜、芒果、熟香蕉、肉桂巧克力、白葡萄酸香、莓果餘韻,,,,,
'圓石' June, 2014,236,40,80,,,衣索比亞 西達摩,Ethiopia Sidamo,水洗西達摩,Washed Sidamo,水洗,Washed,   G2,檸檬多多、茶感、李子、櫻桃、白葡萄酸感,,,,,
榮豆 July, 2015,422,284,570,1100,580,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,碧蘿亞w,Beloya,水洗,Washed,G1 ,,,,,,
榮豆 July, 2015,432,284,570,1100,580,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,碧蘿亞n,Beloya,日曬,Natural,G1 ,,,,,,
'聯傑' August, 2014,272,46,95,,,盧安達,Rwanda,庫佩克合作社,Coopac Coop ,水洗,Washed,,Deep, sweet, pungent. Suggestions of butterscotch, fresh-turned earth, dried plums, dark chocolate and fir in aroma and cup. Round, rich acidity; lightly syrupy mouthfeel. Hints of flavor persist in a long, round, resonant finish.,,,,,
'聯傑' August, 2014,382,64,125,,,肯亞,Kenya,奇安布,Kiambu,水洗,Washed,AA,烏梅、黑醋栗、白葡萄汁、甜感細膩。,,,,,
四季 August, 2014,250,42,85,,,坦尚尼亞 ,Tanzania,多門吉力馬扎羅,Dorman Kilimanjaro,水洗,Washed,AA,烏梅，梅子，整體風味均衡且酸性較為柔順溫和。,,,,,
四季 August, 2014,270,45,90,,,巴西,Brazil,依帕內瑪 甜蜜日曬,Ipanema Dulce Natural,,,,,,,,,
四季 August, 2014,310,52,105,,,盧安達,Rwanda,恩芭肯達,,水洗,Washed,,柔和的花香和蜂蜜奶油般的甜蜜口感，帶有葡萄乾、覆盆子、香草風味。 ,,,,,
四季 August, 2014,300,50,100,,,印尼 蘇門答臘,Indonesia Sumatra ,曼特寧 三次手選,,半水洗,Giling Basah,G1,,,,,,
四季 August, 2014,210,35,75,,,哥倫比亞,Colombia,美德林,Medellin Supremo,水洗,Washed,Sc 17/18,黑巧克力牛奶香，些微的果酸味、微焦糖的甜味。,,,,,
安晶 August, 2014,350,59,115,,,尼加拉瓜 ,Nicaragua,安晶莊園 全果,Tres Soles Est. Fruta del Cafe,全果處理法,Whole Fruit Process,,,,,,,
安晶 August, 2014,310,52,105,,,尼加拉瓜 ,Nicaragua,安晶莊園 Ilana,Tres Soles Est.Ilana,水洗,Washed,,,,,,,
